,COBERTURA,ID_ENTIDAD,ID_MUNICIPIO,ANIO,MES,ID_HORA,ID_MINUTO,ID_DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,ID_EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,NEMUERTO,NEHERIDO,CLASACC,ESTATUS,CITY_STATE,Lat_Lon
241597,Municipal,Yucatan,Acanceh,1997,9,21,0,17,Miércoles,Sin accidente en esta zona,Accidente en carretera estatal,Colisión con ciclista,2,0,0,0,0,0,0,0,0,0,0,1,0,Conductor,Pavimentada,Hombre,Sí,Se ignora,19,0,0,0,0,0,0,1,1,0,0,0,0,Fatal,Cifras definitivas,"Acanceh, Yucatan","(20.81787545, -89.4670433381992)"
241598,Municipal,Yucatan,Akil,1997,5,19,0,6,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,0,0,0,1,0,0,0,0,0,0,1,0,0,Conductor,Pavimentada,Hombre,No,Se ignora,50,0,0,0,2,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Akil, Yucatan","(20.2600534, -89.3437288571821)"
241599,Municipal,Yucatan,Akil,1997,8,17,0,17,Domingo,Accidente en no intersección,Sin accidente en esta zona,Volcadura,2,0,0,0,0,0,0,0,0,0,0,0,0,Conductor,Pavimentada,Hombre,No,Se ignora,21,0,0,0,0,0,0,0,0,0,0,0,0,Sólo Daños,Cifras definitivas,"Akil, Yucatan","(20.2600534, -89.3437288571821)"
241600,Municipal,Yucatan,Akil,1997,8,6,0,16,Sábado,Accidente en no intersección,Sin accidente en esta zona,Colisión con vehículo automotor,2,0,0,0,0,0,0,0,0,0,0,0,0,Conductor,Pavimentada,Hombre,Sí,Se ignora,30,0,0,0,0,0,0,0,0,0,0,0,0,Sólo Daños,Cifras definitivas,"Akil, Yucatan","(20.2600534, -89.3437288571821)"
241601,Municipal,Yucatan,Akil,1997,8,5,45,18,Lunes,Sin accidente en esta zona,Accidentes en otro camino,Colisión con peatón (atropellamiento),1,0,0,0,0,0,0,0,0,1,0,0,0,Peatón o pasajero,No Pavimentada,Hombre,Se ignora,Se ignora,18,0,0,0,0,0,1,0,0,0,0,0,0,No fatal,Cifras definitivas,"Akil, Yucatan","(20.2600534, -89.3437288571821)"
241602,Municipal,Yucatan,Buctzotz,1997,1,10,30,25,Sábado,Sin accidente en esta zona,Accidente en carretera estatal,Volcadura,2,0,0,0,0,0,0,0,0,0,0,0,0,Falla del vehículo,Pavimentada,Hombre,Se ignora,Se ignora,18,0,1,0,1,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Buctzotz, Yucatan","(21.2127744, -88.6461859243543)"
241603,Municipal,Yucatan,Buctzotz,1997,1,10,30,24,Viernes,Sin accidente en esta zona,Accidente en carretera estatal,Colisión con motocicleta,0,0,0,0,0,0,1,0,0,0,1,0,0,Conductor,Pavimentada,Se fugó,Se ignora,Se ignora,0,1,0,0,0,0,0,0,0,0,0,0,0,Fatal,Cifras definitivas,"Buctzotz, Yucatan","(21.2127744, -88.6461859243543)"
241604,Municipal,Yucatan,Buctzotz,1997,1,19,0,20,Lunes,Sin accidente en esta zona,Accidente en carretera estatal,Colisión con peatón (atropellamiento),2,0,0,0,0,0,0,0,0,0,0,0,0,Peatón o pasajero,Pavimentada,Se fugó,Se ignora,Se ignora,0,0,0,0,0,1,0,0,0,0,0,0,0,Fatal,Cifras definitivas,"Buctzotz, Yucatan","(21.2127744, -88.6461859243543)"
241605,Municipal,Yucatan,Buctzotz,1997,1,15,0,22,Miércoles,Sin accidente en esta zona,Accidente en carretera estatal,Volcadura,2,0,0,0,0,0,0,0,0,0,0,0,0,Falla del vehículo,Pavimentada,Hombre,Se ignora,Se ignora,18,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Buctzotz, Yucatan","(21.2127744, -88.6461859243543)"
241606,Municipal,Yucatan,Buctzotz,1997,3,18,0,24,Lunes,Sin accidente en esta zona,Accidente en carretera estatal,Volcadura,1,0,0,0,0,0,0,0,1,0,0,0,0,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,18,0,0,0,0,0,0,0,0,0,0,0,0,Sólo Daños,Cifras definitivas,"Buctzotz, Yucatan","(21.2127744, -88.6461859243543)"
241607,Municipal,Yucatan,Buctzotz,1997,4,20,0,22,Martes,Sin accidente en esta zona,Accidente en carretera estatal,Volcadura,2,0,0,0,0,0,0,0,0,0,0,0,0,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,18,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Buctzotz, Yucatan","(21.2127744, -88.6461859243543)"
241608,Municipal,Yucatan,Buctzotz,1997,4,18,0,18,Viernes,Sin accidente en esta zona,Accidente en carretera estatal,Volcadura,2,0,0,0,0,0,0,0,0,0,0,0,0,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,18,1,0,0,0,0,0,0,0,0,0,0,0,Fatal,Cifras definitivas,"Buctzotz, Yucatan","(21.2127744, -88.6461859243543)"
241609,Municipal,Yucatan,Buctzotz,1997,4,19,0,15,Martes,Sin accidente en esta zona,Accidente en carretera estatal,Colisión con motocicleta,1,0,0,0,0,0,0,0,0,0,1,0,0,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,18,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Buctzotz, Yucatan","(21.2127744, -88.6461859243543)"
241610,Municipal,Yucatan,Buctzotz,1997,5,15,0,12,Lunes,Sin accidente en esta zona,Accidentes en otro camino,Volcadura,1,0,0,0,0,0,1,0,0,0,0,0,0,Conductor,Pavimentada,Hombre,No,Se ignora,18,0,1,1,1,0,0,0,0,0,0,0,0,Fatal,Cifras definitivas,"Buctzotz, Yucatan","(21.2127744, -88.6461859243543)"
241611,Municipal,Yucatan,Buctzotz,1997,7,21,50,23,Miércoles,Sin accidente en esta zona,Accidente en carretera estatal,Colisión con animal,1,0,0,0,0,0,0,0,0,0,1,0,0,Otra,Pavimentada,Hombre,Se ignora,Se ignora,18,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Buctzotz, Yucatan","(21.2127744, -88.6461859243543)"
241612,Municipal,Yucatan,Buctzotz,1997,9,10,30,22,Lunes,Sin accidente en esta zona,Accidente en carretera estatal,Volcadura,1,0,0,0,0,0,0,1,0,0,0,0,0,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,18,0,1,0,1,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Buctzotz, Yucatan","(21.2127744, -88.6461859243543)"
241613,Municipal,Yucatan,Buctzotz,1997,9,20,0,19,Viernes,Sin accidente en esta zona,Accidente en carretera estatal,Volcadura,1,0,0,0,0,0,1,0,0,0,0,0,0,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,18,0,0,0,1,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Buctzotz, Yucatan","(21.2127744, -88.6461859243543)"
241614,Municipal,Yucatan,Buctzotz,1997,10,11,0,14,Martes,Sin accidente en esta zona,Accidente en carretera estatal,Volcadura,2,0,0,0,0,0,0,0,0,0,0,0,0,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,18,0,1,0,1,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Buctzotz, Yucatan","(21.2127744, -88.6461859243543)"
241615,Municipal,Yucatan,Buctzotz,1997,11,14,45,30,Domingo,Sin accidente en esta zona,Accidente en carretera estatal,Salida del camino,2,0,0,0,0,0,0,0,0,0,0,0,0,Peatón o pasajero,Pavimentada,Hombre,Se ignora,Se ignora,18,0,0,0,1,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Buctzotz, Yucatan","(21.2127744, -88.6461859243543)"
